university;study_programme
Glasgow Caledonian University;Ophthalmic Dispensing
University College London;Architectural and Interdisciplinary Studies with a Year Abroad
University of East Anglia;Economics with Accountancy
University of Dundee;Environmental Science and Geography
University of East Anglia;Natural Sciences with a Year Abroad
Imperial College London;Biological Sciences with German for Science
University of Edinburgh;Business Administration
Glasgow Caledonian University;Operating Department Practice
University of Cambridge;Asian and Middle Eastern Studies
The Queen's University Belfast;Sociology, Social Policy and Social Work
University of Kent at Canterbury;Religious Studies and Philosophy
University Campus Suffolk;Diagnostic Radiography
University College London;Light and Lighting
London School of Economics and Political Science;Mathematics with Economics
University of Dundee;Psychology with French
Glasgow Caledonian University;Management and Enterprise (3rd Year Direct Entry)
University College London;Building and Urban Design in Development
University College London;Law
University of Bradford;Biomedical Science
University of Kent at Canterbury;Art History and History
University College London;Chemistry International Programme
University of Bradford;Drug Toxicology and Safety Pharmacology
University of Greenwich;Sexual Health (Top Up)
University College London;Philosophy and Economics
University College London;Material and Visual Culture
University of Warwick;Digital Innovation and Entrepreneurship
University of Cambridge;History
University College London;Comparative Economics and Policy
University College London;Earthquake Engineering with Disaster Management
University of Essex;History with Modern Languages
University of Oxford;Legal Research
University of Greenwich;Applied Animal Behavioural Science and Welfare
Glasgow Caledonian University;Risk Management
Bournemouth University;Adult Nursing
University of Dundee;Civil Engineering
University of Essex;Philosophy (including Year Abroad)
University College London;Health and Medical Sciences
University of Dundee;Mechanical Engineerin and Mechatronics
University College London;Global Prosperity
School of Oriental and African Studies;State, Society and Development
University of Essex;Spanish, Portuguese and Brazilian Studies
University College London;English and German Law Dual Degree
University College London;African Studies with Education
University of Oxford;Structural Biology
University College London;Cognitive Neuroscience
University of Manchester;Full-time MProgramme: Young Potential Leaders Entry
The Queen's University Belfast;Environmental Planning
University College London;Advanced Physiotherapy Paediatrics
University of Oxford;History of Science and Medicine and Economic and Social History
Cardiff University;Palliative Medicine and Palliative Care
Glasgow Caledonian University;Law
Brunel University Uxbridge;Contemporary Education
Brunel University Uxbridge;Occupational Therapy
Imperial College London;Biochemistry with a Year in Industry and Research
University of Oxford;Synthetic Biology
University of Kent at Canterbury;French and History and Philosophy of Art
University College London;Economic Policy
University College London;English Education
University College London;Hispanic Studies — Language Culture and History
University of Oxford;Wellcome Trust Doctoral Training Programme in Neuroscience
University of Cambridge;Asian and Middle Eastern Studies by Research — Chinese Studies
University of the West of England;Wildlife Filmmaking
University of Sunderland;English and Creative Writing
University of Kent at Canterbury;Cultural Studies and Social Anthropology
University of Essex;Philosophy with Human Rights
University of Cambridge;Executive Business Administration
University of Oxford;Executive MBA
University of East Anglia;Environmental Earth Sciences with a Year in Industry
University of East Anglia;Chemistry with a Year in Industry
The Queen's University Belfast;Chemistry (Sandwich)
University of Oxford;Organic Chemistry
University of Bradford;Sustainable Development
University of Kent at Canterbury;Forensic Chemistry
University College London;Development Education and Global Learning
University College London;European Culture and Thought — Thought
